ISSUE_DATE,PLANT_ID,LATITUDE,LONGITUDE,WTHR_01H,WTHR_02H,WTHR_03H,WTHR_04H,WTHR_05H,WTHR_06H,WTHR_07H,WTHR_08H,WTHR_09H,WTHR_10H,WTHR_11H,WTHR_12H,WTHR_13H,WTHR_14H,WTHR_15H,WTHR_16H,WTHR_17H,WTHR_18H,WTHR_19H,WTHR_20H,WTHR_21H,WTHR_22H,WTHR_23H,WTHR_24H,WTHR_MAX,WTHR_MIN,WTHR_AVG,MODIFY_DATE
20150101,701,37.5457649,126.9169618,-6,-7,-7,-8,-8,-8,-8,-8,-9,-8,-8,-7,-5,-5,-4,-5,-5,-6,-6,-6,-7,-7,-7,-7,-4,-9,-7,2015-Jan-02 11:45:24 PM
20150101,703,37.4934152,127.095083,-6,-7,-7,-8,-8,-8,-9,-9,-9,-8,-7,-6,-6,-5,-5,-5,-5,-6,-6,-7,-7,-8,-7,-8,-5,-9,-7,2015-Jan-02 11:45:24 PM
20150101,704,37.4898974,127.0947259,-6,-7,-7,-8,-8,-8,-9,-9,-9,-8,-7,-6,-6,-5,-5,-5,-5,-6,-6,-7,-7,-8,-7,-8,-5,-9,-7,2015-Jan-02 11:45:24 PM
20150101,706,37.4724495,127.1232538,-6,-6,-7,-7,-8,-8,-8,-8,-8,-8,-6,-5,-5,-4,-3,-4,-4,-5,-5,-6,-6,-6,-7,-7,-3,-8,-6,2015-Jan-02 11:45:24 PM
20150101,711,37.5720116,126.8810945,-7,-7,-8,-8,-8,-9,-9,-9,-9,-8,-7,-6,-6,-5,-5,-5,-6,-7,-7,-7,-8,-8,-8,-8,-5,-9,-7,2015-Jan-02 11:45:24 PM
20150101,714,37.3653651,127.1467467,-8,-8,-8,-9,-9,-9,-10,-10,-10,-8,-7,-7,-6,-5,-5,-6,-6,-7,-7,-7,-8,-8,-8,-8,-5,-10,-8,2015-Jan-02 11:45:24 PM
20150101,715,37.6453618,126.7996505,-6,-6,-6,-7,-7,-7,-7,-8,-7,-5,-5,-2,-2,-3,-3,-4,-5,-5,-6,-6,-6,-7,-7,-7,-2,-8,-6,2015-Jan-02 11:45:24 PM
20150101,716,37.6632796,126.7343107,-7,-7,-8,-8,-8,-8,-8,-9,-9,-8,-8,-7,-6,-5,-5,-5,-5,-6,-7,-7,-8,-8,-8,-8,-5,-9,-7,2015-Jan-02 11:45:24 PM
20150101,717,37.2563176,127.0675403,-6,-6,-7,-7,-7,-8,-8,-8,-8,-6,-5,-4,-4,-4,-3,-4,-5,-5,-6,-6,-6,-7,-7,-7,-3,-8,-6,2015-Jan-02 01:21:51 AM
20150101,718,37.2905019,126.9865801,-7,-7,-7,-8,-8,-8,-9,-9,-9,-7,-5,-5,-5,-4,-5,-4,-5,-6,-6,-7,-7,-7,-8,-8,-4,-9,-7,2015-Jan-02 11:45:24 PM
20150101,719,37.3152378,127.0892408,-6,-7,-7,-8,-8,-8,-8,-9,-8,-5,-5,-4,-4,-3,-5,-5,-5,-6,-6,-6,-7,-7,-7,-7,-3,-9,-6,2015-Jan-02 11:45:24 PM
20150101,720,37.256808,127.1669141,-7,-8,-8,-9,-9,-9,-10,-10,-9,-9,-8,-7,-6,-6,-6,-6,-6,-7,-7,-8,-8,-8,-9,-8,-6,-10,-8,2015-Jan-02 11:45:24 PM
20150101,721,37.2191123,127.0818018,-6,-6,-6,-7,-7,-8,-8,-8,-8,-7,-6,-5,-4,-5,-5,-4,-5,-5,-5,-6,-6,-6,-7,-7,-4,-8,-6,2015-Feb-06 02:41:44 PM
20150101,722,37.7358249,126.7197448,-7,-8,-8,-8,-9,-9,-9,-9,-9,-8,-7,-6,-5,-4,-4,-3,-6,-7,-7,-8,-8,-9,-9,-9,-3,-9,-7,2015-Jan-02 11:45:24 PM
20150101,723,37.3939963,127.1034024,-6,-6,-6,-7,-7,-8,-8,-8,-7,-4,-1,-1,0,-1,-2,-3,-4,-5,-5,-6,-7,-7,-7,-7,0,-8,-5,2015-Jan-02 11:45:24 PM
20150101,724,37.6481378,126.9054243,-6,-7,-7,-8,-8,-8,-9,-9,-8,-8,-7,-6,-5,-4,-4,-5,-5,-6,-7,-7,-8,-8,-9,-9,-4,-9,-7,2015-Jan-02 11:45:24 PM
